Title,Text
War in Iraq sidelines global poverty and AIDS,"The World Bank has expressed concern that terrorism and the war in Iraq are diverting attention from efforts to tackle poverty and HIV/AIDS in developing countries. Addressing the recent African Development Forum in Addis Ababa, Ethiopia, Bank president James Wolfensohn said: ""Indeed, the single statistic that tells it all is that in this last year, the world spent US $900 billion on military expenditure and only between $50 and $60 billion on development."" He noted that the biggest threat to governance in Africa was HIV/AIDS, and warned that the world might not enjoy peace and stability unless it addressed the continent's poverty. Research shows that per capita growth in half the countries of sub-Saharan Africa is falling by 0.5 to 1.2 percent each year as a direct result of HIV/AIDS."
Military attaches call for help for destitute war veterans,"Ethiopia has been urged to increase aid to its elderly war veteranswho fought to end the Italian occupation in the 1930s. Military officials from 13 embassies in the capital, Addis Ababa, said many of the surviving 110,000 veterans of the war against the forces of late Italian president Benito Mussolini were ""destitute, ill and homeless"". The Military Attaché Association of Addis Ababa said that greater support must be given to thousands of patriots who risked and lost their lives in the bloody struggle. In a statement released on Wednesday, the association paid tribute to these men and women, saying they had fought for Ethiopia’s prized ""independence and honour"" that is celebrated across Africa. ""As fellow military officers from all over the world,"" the organisation said, ""we understand and appreciate the past sacrifices of the Ethiopian patriots. We believe it is important to provide assistance to improve the quality of life of the remaining patriots."" The association comprises military attaches from China, Côte d’Ivoire, France, Germany, Italy, Kenya, Nigeria, Russia, South Africa, Sudan, the UK, the US and Zimbabwe. They donated US $2,000 to provide the veterans with desperately needed food and clothing, prior to the onset of cold weather. The struggle against Mussolini is an integral part of Ethiopian history. The Italian occupation had prompted the late emperor, Haile Selassie, to flee and appeal for help at the League of Nations. The plea fell on deaf ears, but following the outbreak of World War II, the Ethiopian patriots and British troops eventually expelled the occupying force. Historian Richard Pankhurst told IRIN that the patriots fought a relentless war against the Italian forces to expel them from the country despite a widespread terror campaign mounted by the latter. Ethiopians faced mustard-gas attacks and a brutal onslaught by one of Italy’s most ruthless colonial generals, Rodolfo Graziani, during the six-year occupation, Pankhurst said. One of the bloodiest episodes followed an attempt to assassinate Graziani in February 1937, which sparked a vicious crackdown in which thousands were killed. Currently the Association of Ethiopian Patriots tries to publicise the veterans’ plight and helps to look after them. But, say the military attaches, more support is needed for the men and women who waged war against the occupation, which ended in 1941. Ethiopia’s struggle against colonialism ensured that Addis Ababa was chosen as the seat for the Organisation of African Unity - now replaced by the African Union - which was founded to foster independence and economic recovery on the continent."
UNHCR to close more camps in Pakistan,"The office of the United Nations High Commissioner for Refugees (UNHCR) is planning to close some of the camps housing Afghan refugees in parts of Pakistan's two western provinces of Balochistan and North West Frontier Province (NWFP), which border Afghanistan. ""The exact schedule has yet to be finalised. However, the [refugee] camps located in the western tribal region along NWFP and also those in Chagai district of Balochistan would be closed or consolidated in the next two months,"" Jack Redden, a UNHCR spokesman, told IRIN in the Pakistani capital, Islamabad. At present, the UN refugee agency administers about 130 refugee camps, home to over a million Afghans across the South Asian nation. The refugees are provided with free education, medical care, water and sanitation at the camps. ""The Afghans will be given the option of relocating to other camps [within Pakistan] or voluntary repatriation back to Afghanistan availing UNHCR's assistance package,"" Redden said. In a similar move in 2004, the agency closed 12 new camps in NWFP and Balochistan set to temporarily house refugees fleeing the war that unseated the Taliban rulers of Afghanistan in late 2001. More than 39,000 out of 65,000 refugees listed in new camps in NWFP returned, while 43,000 from a total of 127,000 Afghans repatriated from Balochistan, under the additional voluntary repatriation assistance package of the UNHCR, while the rest moved to old camps. The UN refugee agency's voluntary repatriation programme from Pakistan operates under a special tripartite agreement between UNHCR and the governments of Afghanistan and Pakistan and will run until March 2006. Nearly 2.3 million Afghans have returned from Pakistan since 2002 under UNHCR's voluntary repatriation assistance programme. The agency estimated a further 400,000 would return this year, the agency spokesman said. Meanwhile, a UNHCR-sponsored Afghan Return Commission Working Group (RCWG) delegation is currently visiting Pakistan to update the refugee community about the situation in their homeland and removing other concerns they might have about returning. The nine-member RCWG team, composed of delegates from five northern provinces of Afghanistan; Balkh, Sar-I-Pul, Jowzjan, Samangan and Faryab, has been visiting refugees across all four provinces of Pakistan
"
China donates US $4 million equipment,"The People's Republic of China has donated equipment worth US $4 million to the Central African Republic (CAR), state-owned Radio Centrafrique reported on Tuesday. Chinese Ambassador El Si Ji made the donation, comprising 20,000 corrugated iron sheets, 110 computers, 3,000 bicycles and 60 mt of office furniture, on behalf of his government during a ceremony on Monday in the capital, Bangui. The iron sheets will be used to rebuild military barracks while the CAR transitional government will use the computers, bicycles and office furniture during general elections planned for early 2005. ""China is following closely the development of the transition in CAR and rejoices that encouraging results are being obtained,"" El Si Ji, was quoted as saying. He added that China would continue to support CAR during its transition. The minister for international cooperation, Daniel Nditifei-Boissembe, received the donation on behalf of the CAR government. ""CAR has experienced hardships and it will remain grateful to China for its constant material and financial assistance,"" he said. China was the first country to assist CAR following a 15 March 2003 coup by former armed forces chief of staff, Francois Bozize, who overthrew President Ange-Felix Patasse after a six-month rebellion. On 11 March 2004, China granted the CAR a $ 2-million interest-free loan to help the government pay salary arrears owed to civil servants
"
British millions pledged for AIDS battle,"Britain's international development secretary Hilary Benn has announced funding of close to US $214 million over the next four years to tackle HIV/AIDS around the world. The new funding will also aim to improve sexual and reproductive health for women and young people in developing countries. The UK's Press Association quoted Benn as saying: ""Sexual and reproductive health and AIDS are inextricably linked. By taking on one, we know we are also helping to tackle the other. Far too many poor women in developing countries live with painful, disabling, and hidden injuries or illness because they are denied their rights to sexual and reproductive health."" Approximately $66 million of the funds go to UNAIDS to pay for its role in leading the global HIV/AIDS effort and coordinating international donations, while some $147 million has been allocated to the UN Population Fund over four years."
Interview with Turkish Ambassador to Iraq,"Turkey is determined to improve relations with and continue humanitarian work in neighbouring Iraq, despite the rejection last year of Turkish troop deployment by the US-appointed Iraqi Governing Council. In an interview with IRIN, Turkey's Ambassador to Iraq, Osman Paksüt, said that although his country had offered humanitarian assistance it was becoming increasingly difficult to deliver it because of the poor security situation. He also highlighted the difficulties of conducting official business in the absence of well-established administrative structures on the Iraqi side. QUESTION: What sorts of humanitarian activities are you carrying out in Iraq? ANSWER: The security situation is hampering our humanitarian activities. Travelling around is dangerous for anyone. For example, you saw the Bulgarian president was shot at the other day as his convoy was travelling somewhere around Najaf [holy city in southern Iraq]. Poor security even lead to the cancellation of a trade fare due to be held in Baghdad. Now it has been switched to Turkey. Unless the situation improves, reconstruction work and humanitarian work cannot go forward. Q: What are the immediate tasks you will carry out in Iraq? A: Last year, we allocated US $5 million for humanitarian work. We wanted to build two hospitals. We started building one hospital in Baghdad, but we couldn't proceed as planned because of [poor] security. The second one, we wanted to build in Kirkuk. It was not approved by the administrators there. So we are a little bit frustrated with the way our assistance offer was met. But we sent humanitarian supplies to northern Iraq and to Baghdad. We also hope to do irrigation and potable water projects in Mosul in the future. Q: What sort of humanitarian role do you expect to play in Iraq? A: We re-allocated $50 million this year to be spent on health infrastructure and education. We will help universities here and send students on exchange programmes to universities in Turkey. We want to build hospitals in agreement with local authorities. But there still is confusion about who will be in charge after 30 June [when sovereignty is to be handed over to Iraqis]. We don't know who will give the approval to build a school or a hospital. It's no fault on our part, but we have to wait to see what the administrative infrastructure will be here. Basically, that's what prevents us from doing assistance and reconstruction at the moment. Security is also a problem, but the [current] loose governing structure is worse. People are appointed to various offices, but then they're removed and replaced. This makes it difficult for us. We don't know if the Transitional Administrative Law, or TAL [approved by US administrators and appointed government leaders on 15 November] will be implemented. The majority of Iraqis do not embrace it. In fact, we understand [UN and Iraq] representatives are negotiating to pass a United Nations Security Council resolution to adjust parts of the transitional law. They say there will be a caretaker government, but what will the caretaker government take care of? There's no point in rushing things on the ground, unless there's a dire humanitarian emergency [arising] from fighting [Coalition forces are currently battling insurgents in Fallujah and Najaf] or from an epidemic. We must plan more carefully and prepare projects with the right people and agencies. Q: What particular skills or expertise do you bring to the humanitarian effort? A: We have sent several dozens of Iraqi patients to Turkish hospitals - children wounded during the war and some chronically ill people. In one case, we sent 12 people by plane to Turkey who came back to Iraq after treatment. After the terrorist bombings in Arbil earlier this year we treated more than 40 people for burns and other wounds. Some of them are still in Turkey. Also, take the number of cancer incidents. The number is increasing, probably from depleted uranium. We don't have the World Health Organization here. It's a tragedy that the United Nations and humanitarian agencies can't work here. The number of cancer patients has doubled or tripled, but there's no reliable proof of what's causing their disease. Iraqis are saying they can treat them, but they probably don't have the capability or the expertise. Sometimes they reject the problem because they feel offended when we say we can help. Q: What will Turkey's top priority be in Iraq? A: We are able to help in many respects. We can improve the sanitary and water systems here. Construction [expertise] is more advanced in Turkey, so we offered to build a new road, for example, from a new [Turkey/Iraq] border gate to Mosul. Our project would include a border gate to the west of the current border gate and would pass through Talafar, a Shi'ite region in northern Iraq. This project was not agreed to on the Iraqi side. They said, just open the second gate and make the road go to Zakhou [a northern region between Mosul and the Turkish border]. From Khabur gate [the current Turkey/Iraq border crossing], our aim is to revitalise the economy of the Mosul region. They did not approach the idea warmly, however. Presently the road is controlled by the KDP [Kurdish Democratic Party]. The KDP are collecting taxes and fees. They say they can calculate what they owe to the central government and compensate them, but others aren't collecting the same kind of taxes. It is a source of income for the Kurdish authorities. I don't want to accuse them, but we couldn't agree on the road. It places an extra financial burden on Iraq if they don't accept our help, since it would cost $60 million to $90 million to build such a road. We could find financing for this project. It could be the World Bank or Turkish financing. There is also a project to build a railroad from Turkey south into Iraq, but it requires building the track. These are long-term projects. There should be a government to negotiate with, not just the Ministry of Planning, although the minister is very good. There is no prime minister, there is no five-year plan, there is no one-year plan, nothing. State structures are not existing, so that's a problem. Countries like Japan have had good success with smaller projects, so I shouldn't use that excuse for our problems in Iraq. But there needs to be the correct interlocutor. The system, the situation is unreliable. It's not the people, they are very reliable. All the ministers are very reliable. But they are new in their jobs and don't have the staff, the power, or the authority to give instructions. They don't have good communications. There is no banking. Q: How was the US-appointed Iraqi Governing Council's rejection of Turkish troops to help bolster security in the country viewed back home in Turkey? A: We felt relieved when it was rejected. We made a good-faith offer after receiving an invitation from the United States. We saw our troops would be welcome if they were not under the command of the Coalition forces. If it was a stabilising force, it would be welcome. But the Kurdish reaction was so strong, it was backed by others in the Governing Council. Q: There are some 12,000 Kurds from Turkey living in northern Iraq - what is their situation now and are they returning home? A: The Turkish Kurds are mainly people who moved to Iraq when the PKK [Kurdistan Worker's Party] and [Turkish] security forces conflict reached its peak in the 1980s and 1990s. We realised the PKK's aim was to create a base where more militants were in their ranks. Once a refugee camp becomes more permanent, it is a way of life. So, the situation in the camp is that PKK elements in Iraq want the camp to stay as it is. But the security situation in Turkey is now safe. People can come back now. It won't be easy but we have to show them the way. We still must negotiate some details, however. Q: What assistance will you give these refugees? How will you integrate their return into Turkish society? A: There is an agreement between UNHCR [the office of the United Nations High Commissioner for Refugees] Turkey and Iraq to close down this camp. But a lot of people don't want to go back. There are things the Turkish government will do and there are things UNHCR will do. The United States says it will also help, but now, as sovereignty comes to Iraq [scheduled for 30 June] there is a little bit of foot-dragging on the part of the United States on making guarantees for the safe and orderly implementation of this agreement. The problem is, in a few months they'll say they're out of this. The agreement didn't enter into force yet, but refugees would return to their villages. The Turkish government doesn't promise jobs or houses, but it would help. It will be the job of the governorates [in Turkey] to make sure this happens. Repatriation has to be orderly. It will take several months or a year. Some housing will be necessary, since houses may have been damaged before. If the refugees are going to rebuild, instead of mud houses, they should get more modern housing. Many in the camp married Iraqis. Some children don't know Turkish at all, and the families have not been home in more than a decade. So adaptation for them is quite a project. UNHCR requires help to bring the people back, and they need to be screened. If people are accused of terrorist activities, they have the right to find out if they are accused of any crimes. This process will be completed before they go back. With housing and other things, the World Bank can help, the European Union can help. Q: How are commercial relations between Turkey and Iraq, especially with regards to the oil pipeline leading to the Ceyhan terminal? A: The pipeline was sabotaged many times on the Iraq side. But as long as it is safe and operational on the Iraq side, crude oil will be pumped from the Iraq terminal. Oil production overall is not at 100 percent efficiency yet. In the short-term, [the southern city of] Basra will be the key, but in the north there are more oil fields in the Kirkuk area that have not been exploited. Some people say Iraq's reserves are still twice as much as the current known oil in Iraq, but it will take billions of dollars to explore. We also know there are natural gas fields in Mosul. Q: Are you involved with oil exploration in Iraq now? A: We can build other pipelines, so we see a huge potential for cooperation between Turkey and Iraq on this. But when we talk to the [US-appointed] Governing Council, they say they are temporary and cannot make a permanent decision because it's not their role to make such an important national decision. Technically, it's not possible to increase oil production overnight. The first thing Iraq needs is political stability. Oil pumping can come later. Q: Overall, what's your sense of Turkish relations with Iraq? A: Relationships between individuals are very good. The fact that the Turkish parliament declined to send troops was well received. We have much in common historically and culturally. But Kurdish nationalism was on the rise after the war. The fact that they had protection from [former President Saddam] Hussein gave them a lot of power. The idea now is to integrate them into a new regime, but they refuse to be integrated. They say they do not want to be an independent Kurdish state. They want to be part of Iraq, but they are like a detachable structure."
"India, Pakistan to send more troops","India and Pakistan are due to rapidly deploy some 1,700 soldiers to the Democratic Republic of the Congo (DRC), following Friday's resolution by the UN Security Council to increase the strength of its peacekeeping mission there, UN News reported on Tuesday. UN News said since the Council's unanimous adoption of the resolution, arrangements had been made for an emergency deployment of two battalions of some 850 soldiers each, from these two countries. India will also provide four attack helicopters. Quoting MONUC spokeswoman Patricia Tomé, UN News said the additional troops would bolster MONUC's operations to enable it to conduct a range of new tasks, such as protecting civilians and enforcing an arms embargo in the embattled eastern Congo. She was quoted as echoing the comments of UN Secretary-General Kofi Annan, who welcomed the Council's action on Friday but warned that the new authorised troop level of 16,700 fell ""well below"" his recommended 23,900 peacekeepers and 507 civilian police. Besides the Indians and Pakistanis, the remaining troop increases are still under discussion, UN News reported. It added that India and Pakistan were also expected to provide one brigade - around 2,500 troops - each. UN News reported that MONUC's new authorised troop level, however, was insufficient to establish the ""civilian-military joint mission analysis cell"" recommended in Annan's report to the Council. In calling for the new structure, Annan said MONUC's effectiveness had ""suffered from the lack of established mechanisms for information management capable of providing detailed analysis to my Special Representative and the senior mission management"". On Friday, the Council also expanded MONUC's mandate to include protecting civilians ""under imminent threat of violence"", inspection of aircraft cargo and other traffic in the eastern provinces of North and South Kivu and in the northeastern district of Ituri, in fulfilment of the arms embargo. MONUC would also observe and report on troop movements and the presence of foreign forces in military hotspots. The Council's resolution asked Annan to report to it by the end of February 2005 on MONUC's structure and strength ""with a view to their adjustment according to the progress made on the ground and the tasks remaining to be accomplished"". Tomé was quoted as saying the review would provide an opportunity to examine the success of the operation, which is being conducted across a huge span of territory."
NGO’s reaffirm commitment to Iraq,"NGOs working in Iraq have agreed on the need for stronger advocacy and the need to create safe space for humanitarian work, following a conference held in the Jordanian capital, Amman. ""We (NGOs) aim to provide independent and universal humanitarian and development assistance solely based on Iraqi people’s needs, rights and interests,"" Kasra Mofarah, executive coordinator of the NGO Coordination Committee for Iraq (NCCI) said. The conference and two-day workshop, which ended on Thursday, was convened to look at how successful NGO work in Iraq has been over the past two years given the poor security situation in the country. ""We are now working on a plan to regain humanitarian space,"" he added. Some 70 NGOs and 44 representatives from UN agencies and donors took part in the event. Aid workers have been facing increasing threats in the country and reconstruction work has been severely hampered by bombings, shootings, kidnappings and constant threats. Many aid agencies have pulled out of the country and are providing what assistance they can from neighbouring countries, including Jordan. Since September 2004, 15 NGO employees have been killed and 20 wounded by insurgents. A large number have also been detained by US-led coalition forces and by Iraqi authorities. According to Mofarah, the lack of humanitarian aid and reconstruction at a time when the country needs it most, has had a huge impact on ordinary Iraqis. ""There is less electricity, less food, poor health facilities, insecurity and less access to basic needs,"" said Mofarah. Participants voiced their commitment and confidence in the ability of NCCI to produce a work-plan to protect aid workers within two months, he added. The work-plan will include proposals to regain unrestricted access to affected communities without being targeted by either side in the conflict. ""We are independent, neutral and impartial aid workers, without any link to the political agenda and the line between the military and aid workers is blurred now,"" Mofarah stressed."
Activists push for women's rights in Iraq,"Salam Smeisim, an economist, wears a head scarf and long skirt; her boss, Narmin Othman, Minister of State for Women, wears a black trouser suit with no scarf. Their choice of dress might seem innocuous to the outsider, but clothing is a big symbol in a country where around 90 percent of women are covered head to toe in abayas (black gowns) or wear head scarves pinned around their chins. The two women share a passion for women's issues and want to get more women involved in politics. To help achieve this they are holding an all-female mini ""national assembly"" in the coming days to name 25 women to be advisers to Othman. Some 400 participants have been invited to the conference, which will recieve US $100,000 in funding from the United Nations Development Fund for Women (UNIFEM). Iraqi leaders in August named a national assembly of 100 to serve as an advisory group to the country's interim cabinet. ""I am Islamic, but I also am an activist,"" Smeisim told IRIN. ""I don't see any contradiction between women's rights and Islam, but I'm fighting male attitudes here. Many men want to keep women from taking their place in the new Iraq,"" Smeisim said. But such activists are finding women to run for office and educating female voters to let them know they can vote the way they want to in the future. The new parliament, scheduled to open in January, is to be 25 percent women under rules set up by former US administrator Paul Bremer. Women currently make up 55 percent of the population, a result of the country's numerous wars which have killed a large number of men. Iraqi voters had no choice for 35 years, since former president Saddam Hussein's Baath Party was in charge, Smeisim said. Now, six of the more than 30 interim ministers are female, Othman told IRIN, adding that the country now has over 500 women's organisations. ""People were controlled under Saddam, but those who are older and well-educated remember their rights and know the meaning of equality and women's issues. Iraq's society might be a male-oriented society, but why not consider that a woman can be president or prime minister?"" she said. But the ongoing violence in Iraq makes attitudes slower to change, Amal al-Mamalachi, an adviser at the Ministry of Municipalities and Public Works, told IRIN. Kidnappings and shootings in the streets keep women at home protecting their families, she said. Islamic conservatives have also encouraged women to cover up when they go outside, the adviser added. ""The are not afraid for themselves, but for their families."" One of the first government leaders to be assassinated last autumn was a woman, before assassinations of top officials became almost commonplace. American lawyer Fern Holland was killed last spring after speaking out on women's issues. Several women leaders have been threatened with death for speaking in favour of women's rights in Iraq in recent months, including Yanar Mohammed, head of the Organisation for Women's Federation in Iraq. But if women activists don't speak out now, they'll be fighting for years to get heard in government and elsewhere, the three women believe. ""This is the only opportunity for us to change,"" al-Mamalachi said. ""If we don't have a base for women to become important figures in government, later it will be hard to push our way in."" To get ready for the coming election season, women leaders first met outside political groups, such as the US-based International Republican Institute and the National Democratic Institute. A group of women are outside the country learning how to be ""trainers"" who will come back to teach other women in Iraq what they have learned, Othman said. Finally, the women's ministry will start a TV and radio campaign to educate voters on their rights. ""We will make a list of women for the election who we think will fight for women's rights in this country,"" al-Mamalachi said."
"Junta leader vows to fight terrorism, confirms ties with Israel","The head of Mauritania’s new junta has vowed to continue the fight against desert terrorists, saying the country will honor international commitments entered by the ousted government. In what the state news agency called the first-ever press conference by a Mauritanian head of state, military leader Colonel Ely Ould Mohamed Vall also signalled that Mauritania would maintain its diplomatic ties to Israel - a relationship that since its inception in 1999 has been contentious in this Islamic republic straddling Arab and black Africa. “We have international commitments which we will respect entirely,” said Vall, who leads the military council that toppled 21-year president Maaouya Ould Taya in a bloodless coup in August. “We will do our best to block the proliferation of terrorism in our country,” Mauritania is one of several sub-Saharan African states where the United States is training soldiers in an effort to prevent international fundamentalist groups taking hold in the vast Sahel region. Calling terrorism a matter of national security, Vall said the phenomenon was contrary to Mauritanian values and custom. Shortly after seizing office, the military council in September announced a sweeping amnesty for political crimes, allowing exiles to return and freeing scores of prisoners, including coup plotters and some alleged Islamic extremists. But excluded from the general pardon were around 20 people alleged to have worked with the Algeria-based Salafist Group for Preaching and Combat (GSPC) - a movement linked to al-Qaeda. The GSPC claimed responsibility for an attack in June against a remote Mauritanian military barracks in which at least 15 soldiers were killed. Former leader Ould Taya touted a hard line against Islamic extremists, at times making sweeping arrests of people he accused of being Islamic radicals. But opposition leaders and international analysts say he exaggerated the extremist threat both to curry favour with the United States and as an excuse to stifle legitimate opponents. Some analysts say it was the ex-president’s harsh stance on Islamists that created an environment that encouraged extremists to strike out against the government. “The real impetus for terrorist activity was the extremely repressive nature of the former regime,” Olly Owen, Africa analyst at the London-based research group Global Insight, said. “If the political transition keeps up its momentum, you’ll likely see the terrorism problem die a natural death.” Junta leader Vall put his remarks about ties with Israel in the context of the Palestinian cause, in what Owen called a “canny” approach, given the sensitivity of the Arab-Palestinian issue among Mauritanians. Mauritania would always be among the nations supporting “the just cause of the Palestinian people,” Vall said, adding, “I assure you that this relationship [with Israel] is not to the detriment of the Palestinian people.” But some Mauritanian politicians continue to be dismayed at the Israel link. “Relations with Israel are against every religious conviction and against the will of the Mauritanian people,” said Ould Mansour, member of the Party of Democratic Convergence, which is considered pro-Islamist. Military leader sticks to transition vow, fails to commit on refugees Turning to domestic issues, Vall used the weekend press conference to reiterate the junta’s commitment to a return to elected civilian government, with presidential elections within two years. “The Military Council for Justice and Democracy is committed to its political reform plan, which will lead to a democratically elected president,” he said. Owen said that thus far the actions of the military council have been reassuring, but the road ahead is long and tough. “There will be difficult decisions down the line,” he said. “The essential thing is that they stick to the transition timetable.” Vall, referring to the some 20,000 black Mauritanian refugees exiled in Senegal for the past 16 years, said he would welcome them home, but fell short of saying he would organise a UN-sponsored return as called for by refugees and rights advocates. At least 30,000 Mauritanian refugees remain in Senegal and Mali of the 65,000 who fled ethnic violence in 1989-91. Last month a group of refugees and human rights activists appealed to the Mauritanian and Senegalese governments to organise a return under the auspices of the UN and international organisations. Abderrahmane Ngaide, who fled Mauritania in 1989 and has been a teacher and researcher in history at the University of Dakar for seven years, said he was disappointed that the military council appeared to be putting off the issue the refugees until after the transition. “They must assume their responsibilities,” he said. “But they are failing to do so in the case of the refugees.” He said the military council - many members of which were part of the Ould Taya regime - should come before the Mauritanian people, ask forgiveness for past wrongs, and move on. “We must not wait for the new government,” Ngaide said. “The time to deal with this is now.”"
